Run Name,Date,Distance (km),Pace,Time (min),Description,Split Number,Split Distance (km),Split Pace,Split Time
"Got to see them horseys race",2025-12-22,5.04,30.1,5:58/km,"No description",1.00,5:53,5:52/km,1.00,6:42,6:43/km,1.00,6:14,6:14/km,1.00,5:54,5:53/km,1.00,5:12,5:11/km,35.9,0:11,5:07/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"propa race",2025-12-17,5,29,5:48/km,"No description",1.00,6:10,6:09/km,1.00,5:40,5:40/km,1.00,6:26,6:26/km,1.00,5:43,5:43/km,1.00,5:00,5:01/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Needed this",2025-12-16,5,27.6,5:31/km,"Why does everyday feel so different",1.00,5:38,5:37/km,1.00,5:36,5:36/km,1.00,5:38,5:38/km,1.00,5:42,5:42/km,1.00,5:02,5:02/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afternoon Run",2025-12-15,3.34,23,6:53/km,"No description",1.00,6:36,6:35/km,1.00,6:37,6:37/km,1.00,6:38,6:38/km,0.34,3:10,9:16/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"barely finished ffs",2025-12-04,5,34.3,6:50/km,"my legs be cooked",1.00,6:44,6:43/km,1.00,6:52,6:52/km,1.00,7:35,7:36/km,1.00,6:50,6:50/km,1.00,6:13,6:13/km,3.4,0:01,4:54/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"not every runs the same",2025-12-02,5.04,32.2,6:23/km,"No description",1.00,6:16,6:15/km,1.00,6:55,6:56/km,1.00,7:44,7:43/km,1.00,5:31,5:31/km,1.00,5:32,5:32/km,43.8,0:16,6:05/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sub 60",2025-11-29,10.07,58.2,5:47/km,"No description",1.00,5:31,5:31/km,1.00,5:41,5:40/km,1.00,5:53,5:54/km,1.00,5:42,5:42/km,1.00,5:48,5:48/km,1.00,6:00,6:00/km,1.00,5:51,5:51/km,1.00,5:52,5:52/km,1.00,5:53,5:53/km,1.00,5:43,5:43/km,69.3,0:17,4:05/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chill run",2025-11-28,5.04,33.1,6:35/km,"don't run on a full stomach",1.00,6:40,6:40/km,1.00,6:30,6:30/km,1.00,6:47,6:47/km,1.00,6:59,6:59/km,1.00,6:02,6:01/km,35.4,0:10,4:43/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chill run",2025-11-22,5,34.6,6:55/km,"mf glass shard in foot",1.00,6:24,6:24/km,1.00,9:44,9:44/km,1.00,6:49,6:48/km,1.00,6:16,6:17/km,1.00,5:24,5:25/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cn presentation goto run",2025-11-21,5.03,29.9,5:56/km,"One of my most effort wala runs",1.00,6:13,6:13/km,1.00,6:11,6:11/km,1.00,6:05,6:05/km,1.00,5:57,5:57/km,1.00,5:21,5:20/km,31.1,0:07,3:45/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fast run after a while",2025-11-19,5,30,6:00/km,"a kid asked me today if I am tall coz of the running 😭😭🙏🏾",1.00,6:12,6:11/km,1.00,6:12,6:13/km,1.00,6:28,6:27/km,1.00,5:49,5:49/km,1.00,5:19,5:19/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4k coz choir practice",2025-11-18,4.01,24.9,6:13/km,"No description",1.00,6:37,6:35/km,1.00,6:32,6:32/km,1.00,6:22,6:22/km,1.00,5:21,5:21/km,4.2,0:01,3:58/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saturday Run Club",2025-11-15,6.08,39.9,6:34/km,"No description",1.00,6:43,6:43/km,1.00,6:21,6:21/km,1.00,6:26,6:26/km,1.00,6:36,6:36/km,1.00,6:13,6:13/km,1.00,6:59,6:59/km,87.9,0:35,6:38/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morning Run",2025-11-15,5.04,31,6:10/km,"No description",1.00,6:31,6:31/km,1.00,6:20,6:20/km,1.00,6:04,6:04/km,1.00,6:11,6:10/km,1.00,5:41,5:42/km,43.8,0:15,5:43/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"why do my sprints feel sloww?",2025-11-14,5,31.8,6:22/km,"No description",1.00,6:38,6:37/km,1.00,6:44,6:44/km,1.00,6:32,6:32/km,1.00,6:35,6:35/km,1.00,5:19,5:19/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zone 2 run with a strong finish",2025-11-13,5.09,33.1,6:30/km,"No description",1.00,7:04,7:04/km,1.00,6:57,6:57/km,1.00,6:35,6:35/km,1.00,6:34,6:34/km,1.00,5:31,5:31/km,91.1,0:24,4:23/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Runny Runny",2025-11-11,5.11,31.3,6:07/km,"in the mazgaon garden after a while",1.00,6:11,6:11/km,1.00,6:30,6:30/km,1.00,6:10,6:09/km,1.00,6:17,6:18/km,1.00,5:39,5:38/km,0.11,0:29,4:20/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
